depot,service_number,product,avg_seats_per_bus,route,dep_time,arr_time,planned_kms,planned_trips,planned_per_trip,breakeven_cpk,can_be_cancelled
THORROR,MB09,PO,55,TRR-MHBD,07:20,20:50,360,8,45,29.26,0
THORROR,MB11,PO,55,TRR-MHBD,06:20,19:40,360,8,45,29.26,0
THORROR,AN02,PO,55,TRR-NSPT,07:45,21:20,345,6,57.5,29.26,0
THORROR,AN05,PO,55,TRR-NSPT,07:10,20:40,345,6,57.5,29.26,0
THORROR,NSP1,PO,55,TRR-NSPT,06:00,19:30,345,6,57.5,29.26,0
THORROR,NSP2,PO,55,TRR-NSPT,06:35,20:05,345,6,57.5,29.26,0
THORROR,PH07,PO,55,TRR-PLK,07:15,19:30,322,8,40.25,29.26,0
THORROR,WL10,PO,55,TRR-WGL,05:15,19:05,400,8,50,29.26,0
THORROR,WL15,PO,55,TRR-WGL,05:45,19:35,400,8,50,29.26,0
THORROR,WL21,PO,55,TRR-WGL,06:15,20:05,400,8,50,29.26,0
THORROR,WLO2,PO,55,TRR-WGL,06:45,20:35,400,8,50,29.26,0
THORROR,WLO3,PO,55,TRR-WGL,07:15,21:05,400,8,50,29.26,0
THORROR,WLO4,PO,55,TRR-WGL,07:45,22:25,400,8,50,29.26,0
WARANGAL-I,BGL1,AH,42,BNGL,16:30,09:00,1528,2,764,23.57,0
WARANGAL-I,BGL2,AH,42,BNGL,18:30,07:15,1506,2,753,23.57,0
WARANGAL-I,BKR1,MB,37,BPL-KPHB,11:00,22:15,476,3,158.6666667,23.08,0
WARANGAL-I,ID01,MB,37,ENR-MGBS,09:00,22:45,524,3,174.6666667,23.08,0
WARANGAL-I,IND2,MB,37,ENR-MGBS,10:00,23:45,524,3,174.6666667,23.08,0
WARANGAL-I,IND3,MB,37,ENR-MGBS,07:00,20:30,524,3,174.6666667,23.08,0
WARANGAL-I,IND6,MB,37,ENR-MGBS,08:00,21:30,524,3,174.6666667,23.08,0
